trip_ID,O,D,trip_start,distance,travel_time,mode,passengers
533,248,251,325,6086,119.0,1,1
534,248,251,445,6086,119.0,1,1
535,248,251,358,6086,119.0,1,1
536,248,251,490,6086,119.0,1,1
537,248,251,505,6086,119.0,1,1
538,248,251,385,6086,119.0,1,1
539,248,251,455,6086,119.0,1,1
540,248,251,468,6086,119.0,1,1
541,248,251,357,6086,119.0,2,1
542,248,251,413,6086,119.0,2,2
543,248,251,401,6086,119.0,1,1
544,248,251,469,6086,119.0,1,1
545,248,251,400,6086,119.0,1,1
546,248,251,373,6086,119.0,1,1
547,248,251,586,6086,119.0,1,1
548,248,251,578,6086,119.0,1,1
549,248,251,549,6086,119.0,1,1
550,248,251,556,6086,119.0,1,1
551,248,251,565,6086,119.0,1,1
552,248,251,316,6086,119.0,1,1
553,248,251,564,6086,119.0,1,1
554,248,251,374,6086,119.0,1,1
555,248,251,320,6086,119.0,1,1
556,248,251,492,6086,119.0,1,1
557,248,251,477,6086,119.0,1,1
558,248,251,595,6086,119.0,1,1
559,248,251,361,6086,119.0,1,1
560,248,251,489,6086,119.0,1,1
561,248,251,319,6086,119.0,1,1
562,248,251,399,6086,119.0,1,1
563,248,251,470,6086,119.0,1,1
564,248,251,335,6086,119.0,1,1
565,248,251,579,6086,119.0,1,1
566,248,251,422,6086,119.0,1,1
567,248,251,543,6086,119.0,2,2
568,248,251,448,6086,119.0,1,1
569,248,251,579,6086,119.0,1,1
570,248,251,570,6086,119.0,1,1
571,248,251,575,6086,119.0,1,1
572,248,251,461,6086,119.0,1,1
573,248,251,397,6086,119.0,1,1
574,248,251,489,6086,119.0,1,1
